regex	type	software	vendor	product
cdn\.jsdelivr\.net/npm/moment@([0-9\.]+)/moment\.min\.js	Body	MomentJS	momentjs	moment
/moment-([0-9\.]+)\.min\.js	Body	MomentJS	momentjs	moment
cdnjs\.cloudflare\.com/ajax/libs/underscore\.js/([0-9\.]+)/underscore-min\.js	Body	UnderscoreJS	jashkenas	underscore
/underscore-([0-9\.]+)\.min\.js	Body	UnderscoreJS	jashkenas	underscore
cdn\.jsdelivr\.net/npm/axios@([0-9\.]+)/dist/axios\.min\.js	Body	Axios	axios	axios
/axios\.min\.js\?ver=([0-9\.]+)	Body	Axios	axios	axios
# --- JS frameworks via package-style hints in HTML / JS ---				
["']react["']\s*:\s*["']\^?([0-9\.]+)	Body	React	facebook	react
["']vue["']\s*:\s*["']\^?([0-9\.]+)	Body	Vue.js	vuejs	vue
["']angular["']\s*:\s*["']\^?([0-9\.]+)	Body	Angular	google	angular
["']jquery["']\s*:\s*["']\^?([0-9\.]+)	Body	jQuery	jquery	jquery
["']bootstrap["']\s*:\s*["']\^?([0-9\.]+)	Body	Bootstrap	getbootstrap	bootstrap
["']lodash["']\s*:\s*["']\^?([0-9\.]+)	Body	Lodash	lodash	lodash
["']moment["']\s*:\s*["']\^?([0-9\.]+)	Body	MomentJS	momentjs	moment
# --- Node.js frameworks (backend JS) ---				
["']express["']\s*:\s*["']\^?([0-9\.]+)	Body	Express	expressjs	express
express@([0-9\.]+)	Body	Express	expressjs	express
["']next["']\s*:\s*["']\^?([0-9\.]+)	Body	Next.js	vercel	next.js
["']nuxt["']\s*:\s*["']\^?([0-9\.]+)	Body	Nuxt.js	nuxt	nuxt
["']gatsby["']\s*:\s*["']\^?([0-9\.]+)	Body	Gatsby	gatsbyjs	gatsby
["']nest["']\s*:\s*["']\^?([0-9\.]+)	Body	NestJS	nestjs	nest
# --- Extra backend frameworks (Java / PHP / Python / Ruby) ---				
Rails\s+v?([0-9\.]+)	Body	Ruby on Rails	rubyonrails	rails
Django\s+([0-9\.]+)	Body	Django	djangoproject	django
Spring Boot\s+([0-9\.]+)	Body	Spring Boot	vmware	spring_boot
Symfony\s+([0-9\.]+)	Body	Symfony	sensiolabs	symfony
CodeIgniter\s+([0-9\.]+)	Body	CodeIgniter	codeigniter	codeigniter
CakePHP\s+([0-9\.]+)	Body	CakePHP	cakephp	cakephp
